"v_timeStamp","v_libraryCard","v_libraryVisits","v_itemsYear","v_scifiYear","v_DoULike_Novel","v_DoULike_YA","v_DoULike_SS","v_DoULike_Audio","v_printVsE","v_bookChoice[0]","v_bookChoice[1]","v_bookChoice[2]","v_bookChoice[3]","v_bookChoice[4]","v_bookChoice[5]","v_bookChoice[6]","v_bookChoice[7]","v_bookChoice[8]","v_bookChoice[9]","v_bookChoice[10]","v_bookChoice[11]","v_bookChoiceOthr","v_DescribU_IndProf","v_DescribU_Academic","v_DescribU_ProWriter","v_DescribU_Teacher","v_DescribU_Librarian","v_Age","v_Education","v_Gender","v_HHPeeps","v_HHIncome","v_Zip"
"2018/04/27 1:17:46 AM MDT","2","4","4","1","1","1","0","1","1","2","3","3","2","3","3","1","1","2","1","3","3","","0","0","0","0","1","6","6","1","1","-1","93446"
"2018/04/27 2:39:47 AM MDT","2","4","3","3","1","1","0","1","6","4","3","2","4","4","4","2","3","4","4","4","3","","0","0","0","0","1","4","7","1","2","-1","-1"
"2018/04/27 3:11:28 AM MDT","2","1","1","0","0","0","1","0","1","5","1","1","3","3","3","1","1","2","2","3","1","","0","0","0","1","0","5","6","2","2","2","95820"
"2018/04/27 4:10:34 AM MDT","2","4","4","4","1","1","0","0","2","3","4","5","4","4","4","4","5","5","5","5","5","","0","0","0","0","1","4","7","1","1","2","96817"
"2018/04/27 4:29:57 AM MDT","2","4","4","3","1","1","1","0","4","1","2","2","4","3","4","1","1","1","2","4","3","The description on the fly leaf or shelf talker pulls me in. ","0","0","0","0","1","5","7","1","2","-1","21784"
"2018/04/27 4:39:08 AM MDT","2","1","4","4","1","1","0","0","1","1","2","3","4","5","1","1","2","3","1","4","3","","0","0","0","0","1","3","6","1","1","2","16354"
"2018/04/27 5:50:06 AM MDT","2","4","4","3","1","1","0","1","3","2","3","3","2","3","3","1","2","2","2","1","1","","0","0","0","0","1","4","7","1","1","3","56721"
"2018/04/27 8:03:32 AM MDT","2","4","4","3","1","0","0","0","3","3","3","3","5","4","4","2","2","3","3","5","5","","0","0","0","0","1","4","7","1","2","3","79703"
"2018/04/27 8:37:45 AM MDT","2","3","4","3","1","1","0","1","4","4","3","5","5","2","4","2","2","3","3","2","2","","0","1","0","0","1","5","7","1","3","3","64083"
"2018/04/27 8:43:10 AM MDT","2","3","2","2","1","1","1","1","4","2","2","2","2","2","2","2","2","2","2","3","2","Does it sound good?","0","1","0","0","0","4","7","1","1","2","50014"
"2018/04/27 8:52:22 AM MDT","2","4","4","3","1","1","1","1","5","3","2","2","4","3","3","1","2","4","3","4","1","","0","0","0","0","1","5","7","1","2","4","13212"
"2018/04/27 9:05:43 AM MDT","2","4","4","3","1","1","0","1","4","1","3","2","4","4","4","1","3","5","5","4","4","Recommended by a friend","0","0","0","0","0","5","7","1","3","4","94087"
"2018/04/27 9:06:10 AM MDT","2","4","4","2","1","1","0","0","4","2","4","5","3","4","4","2","1","3","1","3","2","","0","0","0","0","1","5","5","1","2","2","35769"
"2018/04/27 9:17:32 AM MDT","2","4","4","3","1","1","0","1","4","2","2","4","2","4","3","1","1","2","1","3","1","","0","0","0","0","1","4","7","1","2","4","72002"
"2018/04/27 11:00:20 AM MDT","2","4","4","0","1","1","0","0","1","4","4","3","4","2","1","1","3","2","1","1","1","","0","0","0","0","1","4","6","1","3","3","85048"
"2018/04/27 12:10:38 PM MDT","2","4","4","2","1","1","1","1","3","3","1","5","2","5","5","3","2","4","1","5","1","","0","0","0","0","1","5","7","1","3","4","92139"
